department,salary,mean_work_last_3_months,number_projects,satisfaction_level,last_evaluation,time_in_company,work_accident,left
marketing,medium,263.3333333333333,5.0,90.0,87.0,2.0,0.0,0.0
marketing,medium,269.6666666666667,5.0,65.0,67.0,5.0,0.0,0.0
marketing,medium,296.0,3.0,75.0,75.0,3.0,0.0,0.0
sales,medium,291.3333333333333,4.0,62.0,49.0,4.0,0.0,0.0
sales,medium,277.6666666666667,5.0,61.0,63.0,3.0,0.0,0.0
sales,medium,278.6666666666667,4.0,24.0,60.0,5.0,0.0,0.0
sales,high,267.0,3.0,71.0,63.0,3.0,1.0,0.0
sales,low,273.6666666666667,2.0,49.0,80.0,2.0,0.0,0.0
sales,medium,269.6666666666667,3.0,44.0,66.0,2.0,0.0,0.0
sales,medium,285.6666666666667,4.0,75.0,87.0,3.0,0.0,0.0
sales,medium,267.0,3.0,74.0,84.0,4.0,0.0,0.0
sales,medium,280.0,5.0,62.0,87.0,3.0,0.0,0.0
sales,low,276.3333333333333,3.0,51.0,58.0,3.0,0.0,0.0
sales,low,261.0,5.0,61.0,59.0,2.0,0.0,0.0
sales,low,273.3333333333333,5.0,56.0,49.0,3.0,0.0,0.0
sales,low,285.0,3.0,79.0,76.0,3.0,0.0,0.0
sales,low,279.6666666666667,6.0,68.0,75.0,5.0,0.0,0.0
sales,low,275.0,2.0,90.0,84.0,3.0,0.0,0.0
sales,low,273.3333333333333,5.0,83.0,93.0,3.0,0.0,0.0
sales,low,290.0,3.0,94.0,82.0,3.0,0.0,0.0
sales,low,272.3333333333333,5.0,21.0,65.0,3.0,1.0,0.0
sales,low,270.0,3.0,58.0,87.0,2.0,0.0,0.0
accounting,low,277.3333333333333,6.0,52.0,38.0,3.0,0.0,0.0
accounting,low,280.3333333333333,5.0,18.0,67.0,5.0,0.0,0.0
accounting,low,280.3333333333333,5.0,94.0,91.0,3.0,0.0,0.0
hr,low,290.3333333333333,3.0,69.0,50.0,4.0,0.0,0.0
hr,low,273.3333333333333,4.0,65.0,83.0,3.0,0.0,0.0
hr,low,286.0,2.0,46.0,62.0,3.0,0.0,0.0
hr,low,266.3333333333333,4.0,72.0,62.0,3.0,0.0,0.0
technical,low,285.0,6.0,30.0,37.0,3.0,0.0,0.0
technical,low,266.3333333333333,4.0,51.0,51.0,2.0,0.0,0.0
technical,low,263.0,3.0,43.0,75.0,2.0,0.0,0.0
technical,low,276.3333333333333,3.0,56.0,94.0,2.0,0.0,0.0
technical,medium,266.6666666666667,4.0,63.0,91.0,3.0,0.0,0.0
technical,medium,284.0,5.0,61.0,55.0,3.0,0.0,0.0
technical,medium,281.6666666666667,4.0,53.0,73.0,2.0,0.0,0.0
technical,medium,271.0,3.0,87.0,75.0,3.0,0.0,0.0
technical,medium,273.0,4.0,68.0,70.0,4.0,0.0,0.0
technical,medium,267.6666666666667,3.0,78.0,84.0,2.0,0.0,0.0
technical,medium,283.0,4.0,49.0,95.0,2.0,0.0,0.0
support,medium,274.0,3.0,96.0,81.0,3.0,0.0,0.0
support,medium,291.0,3.0,83.0,74.0,2.0,0.0,0.0
support,medium,277.3333333333333,5.0,48.0,67.0,3.0,0.0,0.0
support,medium,288.0,4.0,63.0,86.0,3.0,1.0,0.0
support,medium,267.3333333333333,4.0,87.0,38.0,5.0,0.0,0.0
support,high,282.6666666666667,4.0,21.0,90.0,6.0,0.0,0.0
support,low,288.6666666666667,5.0,79.0,58.0,3.0,0.0,0.0
support,medium,275.3333333333333,3.0,80.0,96.0,5.0,0.0,0.0
support,medium,277.3333333333333,4.0,78.0,82.0,3.0,0.0,0.0
support,medium,264.0,5.0,67.0,65.0,2.0,0.0,0.0
support,medium,276.6666666666667,3.0,67.0,71.0,3.0,1.0,0.0
technical,low,279.3333333333333,2.0,26.0,67.0,6.0,0.0,0.0
technical,low,278.3333333333333,5.0,89.0,83.0,4.0,0.0,0.0
technical,low,277.3333333333333,4.0,70.0,53.0,3.0,0.0,0.0
management,low,276.0,5.0,51.0,48.0,4.0,0.0,0.0
IT,low,273.3333333333333,3.0,53.0,88.0,3.0,0.0,0.0
IT,low,285.3333333333333,4.0,76.0,51.0,3.0,0.0,0.0
IT,low,268.3333333333333,5.0,86.0,93.0,2.0,0.0,0.0
IT,low,242.66666666666663,5.0,63.0,96.0,3.0,0.0,0.0
IT,low,262.0,5.0,58.0,86.0,3.0,0.0,0.0
product_mng,low,279.3333333333333,4.0,58.0,83.0,3.0,1.0,0.0
product_mng,low,289.6666666666667,4.0,90.0,82.0,3.0,0.0,0.0
product_mng,low,285.0,4.0,79.0,57.0,2.0,0.0,0.0
product_mng,low,275.0,4.0,80.0,74.0,4.0,0.0,0.0
IT,low,297.0,2.0,53.0,65.0,2.0,1.0,0.0
RandD,low,267.6666666666667,2.0,52.0,84.0,3.0,0.0,0.0
RandD,low,271.6666666666667,5.0,82.0,59.0,3.0,0.0,0.0
RandD,low,275.3333333333333,2.0,68.0,90.0,4.0,0.0,0.0
RandD,low,279.6666666666667,3.0,21.0,61.0,2.0,0.0,0.0
RandD,low,272.3333333333333,4.0,81.0,50.0,3.0,1.0,0.0
RandD,low,270.6666666666667,3.0,57.0,90.0,4.0,0.0,0.0
marketing,low,280.0,3.0,99.0,72.0,2.0,1.0,0.0
sales,medium,270.6666666666667,4.0,90.0,100.0,3.0,0.0,0.0
accounting,medium,261.6666666666667,3.0,76.0,64.0,3.0,0.0,0.0
support,medium,257.0,4.0,56.0,92.0,2.0,0.0,0.0
technical,medium,281.3333333333333,6.0,50.0,93.0,3.0,1.0,0.0
management,medium,279.0,5.0,48.0,89.0,3.0,0.0,0.0
marketing,medium,266.6666666666667,3.0,99.0,97.0,2.0,0.0,0.0
marketing,medium,281.6666666666667,5.0,76.0,80.0,2.0,0.0,0.0
marketing,medium,269.6666666666667,4.0,93.0,97.0,3.0,0.0,0.0
sales,medium,271.3333333333333,4.0,99.0,78.0,3.0,0.0,0.0
sales,medium,284.0,4.0,85.0,78.0,3.0,0.0,0.0
sales,medium,274.3333333333333,4.0,63.0,95.0,3.0,0.0,0.0
sales,medium,284.0,3.0,63.0,78.0,3.0,1.0,0.0
sales,high,276.0,5.0,50.0,65.0,3.0,0.0,0.0
sales,low,292.3333333333333,3.0,52.0,57.0,3.0,0.0,0.0
sales,medium,279.0,3.0,63.0,99.0,3.0,0.0,0.0
sales,medium,267.3333333333333,4.0,78.0,50.0,2.0,0.0,0.0
sales,medium,283.0,3.0,98.0,53.0,3.0,0.0,0.0
sales,medium,292.0,5.0,14.0,100.0,5.0,0.0,0.0
sales,low,269.6666666666667,3.0,70.0,90.0,2.0,0.0,0.0
sales,low,274.6666666666667,4.0,88.0,60.0,2.0,0.0,0.0
sales,low,283.0,3.0,72.0,62.0,4.0,0.0,0.0
sales,low,275.0,4.0,88.0,51.0,3.0,0.0,0.0
sales,low,279.0,3.0,71.0,51.0,4.0,0.0,0.0
sales,low,280.3333333333333,3.0,60.0,85.0,2.0,0.0,0.0
sales,low,283.0,4.0,88.0,86.0,3.0,1.0,0.0
sales,low,289.0,5.0,55.0,72.0,4.0,0.0,0.0
sales,low,274.6666666666667,4.0,85.0,55.0,2.0,1.0,0.0
accounting,low,290.6666666666667,2.0,84.0,51.0,4.0,0.0,0.0
accounting,low,262.6666666666667,4.0,91.0,61.0,2.0,1.0,0.0
accounting,low,271.0,4.0,82.0,62.0,2.0,0.0,0.0
hr,low,274.6666666666667,2.0,60.0,91.0,4.0,0.0,0.0
hr,low,281.6666666666667,5.0,89.0,71.0,3.0,0.0,0.0
hr,low,287.3333333333333,4.0,60.0,97.0,4.0,1.0,0.0
hr,low,284.0,4.0,64.0,52.0,3.0,0.0,0.0
technical,low,269.0,4.0,93.0,88.0,3.0,0.0,0.0
technical,low,269.3333333333333,3.0,81.0,99.0,2.0,1.0,0.0
technical,low,271.6666666666667,4.0,31.0,49.0,3.0,1.0,0.0
technical,low,262.3333333333333,4.0,68.0,69.0,2.0,0.0,0.0
technical,low,272.6666666666667,3.0,78.0,59.0,2.0,0.0,0.0
technical,medium,274.6666666666667,4.0,44.0,42.0,4.0,0.0,0.0
technical,medium,280.6666666666667,4.0,64.0,93.0,2.0,1.0,0.0
technical,medium,280.0,4.0,81.0,63.0,6.0,0.0,0.0
technical,medium,281.3333333333333,3.0,50.0,49.0,3.0,0.0,0.0
technical,medium,285.3333333333333,5.0,69.0,61.0,3.0,0.0,0.0
technical,medium,286.6666666666667,4.0,77.0,75.0,3.0,0.0,0.0
support,medium,290.6666666666667,4.0,69.0,56.0,3.0,0.0,0.0
support,medium,285.6666666666667,4.0,87.0,68.0,2.0,0.0,0.0
support,medium,288.6666666666667,4.0,85.0,91.0,3.0,0.0,0.0
support,medium,276.6666666666667,4.0,83.0,83.0,4.0,0.0,0.0
support,medium,279.3333333333333,3.0,68.0,51.0,3.0,0.0,0.0
support,medium,269.6666666666667,4.0,78.0,65.0,2.0,0.0,0.0
support,high,264.6666666666667,3.0,78.0,89.0,3.0,0.0,0.0
support,low,271.6666666666667,4.0,93.0,68.0,2.0,1.0,0.0
support,medium,274.0,3.0,54.0,75.0,3.0,0.0,0.0
support,medium,278.3333333333333,3.0,76.0,56.0,3.0,0.0,0.0
support,medium,279.3333333333333,3.0,40.0,72.0,2.0,0.0,0.0
technical,medium,287.3333333333333,3.0,73.0,81.0,2.0,0.0,0.0
technical,low,274.0,5.0,86.0,98.0,3.0,0.0,0.0
technical,low,268.3333333333333,5.0,38.0,68.0,6.0,0.0,0.0
management,low,264.0,5.0,71.0,48.0,3.0,0.0,0.0
IT,low,261.6666666666667,5.0,58.0,97.0,2.0,0.0,0.0
IT,low,271.6666666666667,3.0,67.0,59.0,3.0,1.0,0.0
IT,low,274.0,4.0,55.0,76.0,4.0,0.0,0.0
IT,low,278.6666666666667,2.0,76.0,98.0,2.0,0.0,0.0
IT,low,252.3333333333333,3.0,70.0,82.0,3.0,0.0,0.0
product_mng,low,275.0,4.0,66.0,46.0,4.0,0.0,0.0
product_mng,low,262.6666666666667,3.0,96.0,72.0,3.0,0.0,0.0
product_mng,low,279.0,4.0,60.0,77.0,4.0,0.0,0.0
product_mng,low,277.0,5.0,54.0,94.0,3.0,1.0,0.0
IT,low,281.3333333333333,5.0,85.0,90.0,3.0,0.0,0.0
RandD,low,268.6666666666667,3.0,96.0,84.0,3.0,0.0,0.0
RandD,low,287.0,3.0,86.0,62.0,3.0,1.0,0.0
RandD,low,258.0,3.0,53.0,87.0,2.0,0.0,0.0
RandD,low,269.6666666666667,3.0,91.0,95.0,3.0,0.0,0.0
RandD,low,264.6666666666667,5.0,33.0,70.0,4.0,0.0,0.0
RandD,low,273.6666666666667,4.0,75.0,73.0,2.0,0.0,0.0
marketing,low,274.3333333333333,3.0,97.0,80.0,3.0,0.0,0.0
sales,low,276.6666666666667,4.0,68.0,51.0,4.0,1.0,0.0
accounting,medium,265.6666666666667,5.0,68.0,70.0,2.0,0.0,0.0
support,medium,275.6666666666667,4.0,57.0,87.0,2.0,0.0,0.0
technical,medium,275.0,4.0,87.0,90.0,3.0,0.0,0.0
management,medium,268.6666666666667,5.0,50.0,91.0,2.0,1.0,0.0
marketing,medium,276.0,3.0,76.0,59.0,4.0,0.0,0.0
marketing,medium,268.0,5.0,79.0,61.0,4.0,0.0,0.0
marketing,medium,274.6666666666667,6.0,17.0,90.0,6.0,1.0,0.0
sales,medium,265.0,4.0,60.0,62.0,2.0,1.0,0.0
sales,medium,271.3333333333333,3.0,89.0,67.0,3.0,0.0,0.0
sales,medium,280.0,3.0,69.0,87.0,2.0,0.0,0.0
sales,medium,262.3333333333333,2.0,68.0,85.0,6.0,0.0,0.0
sales,medium,276.6666666666667,5.0,61.0,87.0,4.0,0.0,0.0
sales,high,274.3333333333333,3.0,63.0,50.0,2.0,0.0,0.0
sales,low,294.3333333333333,4.0,50.0,96.0,3.0,0.0,0.0
sales,medium,272.0,2.0,49.0,74.0,3.0,1.0,0.0
sales,medium,274.3333333333333,5.0,83.0,55.0,5.0,0.0,0.0
sales,medium,276.6666666666667,2.0,59.0,71.0,2.0,1.0,0.0
sales,medium,270.6666666666667,2.0,75.0,93.0,5.0,0.0,0.0
sales,low,274.6666666666667,3.0,66.0,48.0,3.0,1.0,0.0
sales,low,264.3333333333333,4.0,68.0,51.0,3.0,0.0,0.0
sales,low,275.3333333333333,5.0,73.0,58.0,3.0,0.0,0.0
sales,low,277.6666666666667,4.0,98.0,53.0,2.0,1.0,0.0
sales,low,286.0,3.0,86.0,65.0,3.0,0.0,0.0
sales,low,264.0,3.0,50.0,55.0,3.0,0.0,0.0
sales,low,278.6666666666667,3.0,76.0,76.0,3.0,0.0,0.0
sales,low,275.0,4.0,30.0,47.0,2.0,0.0,0.0
accounting,low,272.3333333333333,3.0,30.0,86.0,5.0,1.0,0.0
accounting,low,263.0,3.0,64.0,59.0,3.0,1.0,0.0
accounting,low,287.0,3.0,59.0,75.0,2.0,0.0,0.0
hr,low,283.6666666666667,4.0,85.0,63.0,3.0,0.0,0.0
hr,low,288.6666666666667,3.0,76.0,93.0,5.0,0.0,0.0
hr,low,292.0,5.0,63.0,50.0,2.0,0.0,0.0
hr,low,279.6666666666667,4.0,65.0,86.0,2.0,1.0,0.0
technical,low,291.0,3.0,43.0,68.0,2.0,0.0,0.0
technical,low,262.0,4.0,83.0,56.0,2.0,0.0,0.0
technical,low,285.3333333333333,4.0,49.0,77.0,2.0,0.0,0.0
technical,low,286.0,3.0,67.0,73.0,2.0,0.0,0.0
technical,low,287.0,2.0,90.0,47.0,6.0,1.0,0.0
technical,low,293.3333333333333,3.0,83.0,96.0,2.0,0.0,0.0
technical,medium,285.3333333333333,5.0,92.0,84.0,3.0,0.0,0.0
technical,medium,288.6666666666667,5.0,83.0,70.0,3.0,0.0,0.0
technical,medium,286.3333333333333,4.0,64.0,55.0,3.0,1.0,0.0
technical,medium,293.0,4.0,93.0,97.0,3.0,1.0,0.0
technical,medium,275.6666666666667,4.0,60.0,87.0,3.0,1.0,0.0
support,medium,299.0,3.0,74.0,69.0,2.0,0.0,0.0
support,medium,278.3333333333333,5.0,56.0,75.0,5.0,0.0,0.0
support,medium,282.3333333333333,4.0,61.0,77.0,3.0,0.0,0.0
support,medium,268.0,4.0,63.0,62.0,4.0,0.0,0.0
support,medium,277.0,5.0,24.0,62.0,4.0,0.0,0.0
support,medium,271.6666666666667,5.0,17.0,56.0,4.0,1.0,0.0
support,medium,274.3333333333333,2.0,46.0,64.0,3.0,0.0,0.0
support,high,261.0,4.0,68.0,48.0,4.0,0.0,0.0
support,low,258.3333333333333,2.0,68.0,60.0,6.0,0.0,0.0
support,medium,290.6666666666667,6.0,16.0,71.0,5.0,0.0,0.0
support,medium,292.3333333333333,6.0,15.0,56.0,5.0,0.0,0.0
technical,medium,276.3333333333333,3.0,55.0,49.0,2.0,0.0,0.0
technical,medium,290.0,4.0,72.0,66.0,4.0,0.0,0.0
technical,low,273.6666666666667,2.0,91.0,89.0,4.0,0.0,0.0
management,low,256.6666666666667,4.0,30.0,91.0,4.0,0.0,0.0
IT,low,267.6666666666667,5.0,56.0,68.0,2.0,0.0,0.0
IT,low,286.3333333333333,3.0,94.0,94.0,3.0,0.0,0.0
IT,low,280.0,5.0,82.0,63.0,3.0,0.0,0.0
IT,low,276.6666666666667,5.0,66.0,86.0,3.0,0.0,0.0
IT,low,274.0,4.0,74.0,64.0,6.0,1.0,0.0
product_mng,low,249.66666666666663,3.0,63.0,50.0,3.0,0.0,0.0
product_mng,low,276.0,6.0,65.0,42.0,2.0,0.0,0.0
product_mng,low,270.3333333333333,3.0,56.0,81.0,2.0,0.0,0.0
product_mng,low,280.0,6.0,32.0,73.0,5.0,0.0,0.0
IT,low,285.3333333333333,4.0,80.0,90.0,2.0,0.0,0.0
RandD,low,284.3333333333333,6.0,34.0,87.0,4.0,0.0,0.0
RandD,low,285.6666666666667,5.0,62.0,71.0,2.0,0.0,0.0
RandD,low,274.3333333333333,3.0,50.0,86.0,2.0,0.0,0.0
RandD,low,286.3333333333333,5.0,58.0,98.0,3.0,0.0,0.0
RandD,low,267.0,2.0,94.0,90.0,3.0,0.0,0.0
RandD,low,264.6666666666667,4.0,67.0,99.0,3.0,1.0,0.0
marketing,low,275.6666666666667,6.0,20.0,74.0,4.0,0.0,0.0
sales,low,272.3333333333333,5.0,91.0,59.0,2.0,0.0,0.0
accounting,low,277.6666666666667,2.0,91.0,67.0,4.0,0.0,0.0
support,medium,283.3333333333333,3.0,78.0,87.0,3.0,1.0,0.0
technical,medium,271.6666666666667,3.0,82.0,55.0,4.0,1.0,0.0
management,medium,290.6666666666667,3.0,54.0,96.0,3.0,0.0,0.0
marketing,medium,277.6666666666667,3.0,53.0,81.0,3.0,0.0,0.0
marketing,medium,288.3333333333333,4.0,47.0,55.0,5.0,1.0,0.0
marketing,medium,253.66666666666663,3.0,87.0,50.0,3.0,0.0,0.0
sales,medium,287.0,4.0,50.0,68.0,3.0,0.0,0.0
sales,medium,275.6666666666667,3.0,59.0,83.0,2.0,0.0,0.0
sales,medium,280.3333333333333,3.0,89.0,69.0,3.0,0.0,0.0
sales,medium,296.0,4.0,54.0,49.0,3.0,1.0,0.0
sales,medium,276.6666666666667,3.0,62.0,85.0,3.0,0.0,0.0
sales,medium,257.3333333333333,3.0,91.0,85.0,3.0,0.0,0.0
sales,high,269.0,2.0,84.0,99.0,2.0,0.0,0.0
sales,low,277.0,4.0,69.0,65.0,2.0,1.0,0.0
sales,medium,265.0,3.0,76.0,63.0,2.0,0.0,0.0
sales,medium,299.0,4.0,80.0,54.0,3.0,0.0,0.0
sales,medium,278.6666666666667,5.0,40.0,47.0,3.0,0.0,0.0
sales,medium,283.0,3.0,80.0,99.0,3.0,1.0,0.0
sales,low,285.0,2.0,76.0,40.0,5.0,0.0,0.0
sales,low,279.3333333333333,4.0,55.0,90.0,2.0,1.0,0.0
sales,low,273.3333333333333,3.0,98.0,63.0,6.0,0.0,0.0
sales,low,295.6666666666667,4.0,54.0,56.0,3.0,0.0,0.0
sales,low,266.6666666666667,4.0,63.0,56.0,2.0,1.0,0.0
sales,low,273.0,3.0,88.0,63.0,3.0,0.0,0.0
sales,low,282.6666666666667,5.0,50.0,95.0,3.0,0.0,0.0
accounting,low,252.66666666666663,3.0,52.0,72.0,3.0,0.0,0.0
accounting,low,270.6666666666667,4.0,89.0,95.0,3.0,0.0,0.0
accounting,low,267.6666666666667,4.0,55.0,90.0,3.0,0.0,0.0
hr,low,283.0,3.0,51.0,81.0,2.0,0.0,0.0
hr,low,262.6666666666667,5.0,35.0,52.0,3.0,0.0,0.0
hr,low,265.6666666666667,5.0,54.0,71.0,2.0,0.0,0.0
hr,low,264.0,4.0,72.0,84.0,3.0,0.0,0.0
technical,low,286.6666666666667,2.0,61.0,93.0,3.0,0.0,0.0
technical,low,274.6666666666667,3.0,17.0,93.0,4.0,0.0,0.0
technical,low,291.3333333333333,3.0,71.0,88.0,2.0,0.0,0.0
technical,low,270.3333333333333,4.0,88.0,52.0,2.0,0.0,0.0
technical,low,265.3333333333333,3.0,48.0,100.0,2.0,0.0,0.0
technical,low,275.3333333333333,6.0,16.0,97.0,3.0,0.0,0.0
technical,low,265.6666666666667,3.0,62.0,72.0,3.0,0.0,0.0
technical,medium,272.6666666666667,3.0,59.0,47.0,2.0,0.0,0.0
technical,medium,278.0,4.0,14.0,90.0,4.0,0.0,0.0
technical,medium,288.6666666666667,4.0,96.0,92.0,3.0,0.0,0.0
technical,medium,305.6666666666667,6.0,96.0,42.0,4.0,0.0,0.0
support,medium,280.6666666666667,4.0,13.0,89.0,6.0,1.0,0.0
support,medium,260.0,5.0,64.0,61.0,3.0,1.0,0.0
support,medium,246.66666666666663,5.0,64.0,67.0,2.0,1.0,0.0
support,medium,269.0,3.0,57.0,72.0,3.0,1.0,0.0
support,medium,278.0,3.0,49.0,100.0,3.0,0.0,0.0
support,medium,278.0,4.0,89.0,79.0,2.0,0.0,0.0
support,medium,276.3333333333333,5.0,94.0,75.0,2.0,0.0,0.0
support,medium,251.66666666666663,2.0,51.0,58.0,4.0,0.0,0.0
support,high,283.3333333333333,5.0,80.0,85.0,3.0,0.0,0.0
support,low,294.0,4.0,74.0,51.0,2.0,1.0,0.0
support,medium,266.6666666666667,4.0,66.0,85.0,3.0,1.0,0.0
technical,medium,277.6666666666667,5.0,66.0,99.0,3.0,0.0,0.0
technical,medium,270.0,3.0,59.0,62.0,4.0,0.0,0.0
technical,medium,293.0,3.0,91.0,57.0,3.0,0.0,0.0
management,low,291.0,5.0,83.0,98.0,4.0,1.0,0.0
IT,low,268.3333333333333,3.0,50.0,91.0,2.0,0.0,0.0
IT,low,286.6666666666667,4.0,69.0,97.0,3.0,0.0,0.0
IT,low,287.0,5.0,87.0,91.0,3.0,0.0,0.0
IT,low,266.3333333333333,2.0,37.0,43.0,2.0,0.0,0.0
IT,low,258.6666666666667,4.0,90.0,98.0,3.0,0.0,0.0
product_mng,low,268.3333333333333,4.0,68.0,41.0,5.0,0.0,0.0
product_mng,low,264.0,4.0,93.0,63.0,3.0,1.0,0.0
product_mng,low,272.3333333333333,3.0,95.0,45.0,2.0,0.0,0.0
product_mng,low,270.0,4.0,99.0,100.0,2.0,1.0,0.0
IT,low,287.0,2.0,64.0,90.0,6.0,0.0,0.0
RandD,low,269.0,2.0,96.0,37.0,6.0,0.0,0.0
RandD,low,274.6666666666667,5.0,92.0,54.0,2.0,0.0,0.0
RandD,low,270.3333333333333,5.0,22.0,52.0,5.0,1.0,0.0
RandD,low,278.0,5.0,82.0,99.0,3.0,1.0,0.0
RandD,low,291.3333333333333,3.0,75.0,89.0,3.0,0.0,0.0
RandD,low,299.0,6.0,20.0,89.0,3.0,0.0,0.0
marketing,low,273.6666666666667,3.0,64.0,73.0,3.0,0.0,0.0
sales,low,276.6666666666667,4.0,62.0,90.0,4.0,0.0,0.0
accounting,low,291.0,3.0,73.0,59.0,2.0,0.0,0.0
support,low,272.0,3.0,52.0,51.0,4.0,0.0,0.0
technical,medium,267.6666666666667,5.0,63.0,67.0,3.0,0.0,0.0
management,medium,284.0,4.0,84.0,92.0,3.0,0.0,0.0
marketing,medium,281.6666666666667,3.0,49.0,96.0,3.0,0.0,0.0
marketing,medium,258.3333333333333,4.0,54.0,78.0,2.0,0.0,0.0
marketing,medium,271.6666666666667,4.0,52.0,78.0,2.0,0.0,0.0
sales,medium,263.0,6.0,66.0,63.0,6.0,0.0,0.0
sales,medium,286.3333333333333,2.0,73.0,41.0,6.0,1.0,0.0
sales,medium,283.6666666666667,3.0,54.0,64.0,3.0,0.0,0.0
sales,medium,266.0,5.0,72.0,68.0,4.0,0.0,0.0
sales,medium,266.3333333333333,4.0,75.0,64.0,3.0,1.0,0.0
sales,medium,261.3333333333333,3.0,77.0,57.0,2.0,0.0,0.0
sales,medium,270.0,5.0,42.0,94.0,5.0,0.0,0.0
sales,high,278.6666666666667,4.0,13.0,69.0,4.0,0.0,0.0
sales,low,291.3333333333333,5.0,73.0,88.0,5.0,0.0,0.0
sales,medium,251.3333333333333,5.0,50.0,95.0,3.0,0.0,0.0
sales,medium,270.6666666666667,4.0,92.0,62.0,3.0,1.0,0.0
sales,medium,281.0,3.0,73.0,66.0,2.0,0.0,0.0
sales,medium,275.0,2.0,74.0,38.0,3.0,0.0,0.0
sales,low,283.0,3.0,76.0,78.0,2.0,0.0,0.0
sales,low,269.3333333333333,3.0,53.0,92.0,4.0,1.0,0.0
sales,low,278.0,3.0,65.0,72.0,3.0,0.0,0.0
sales,low,282.0,4.0,91.0,85.0,2.0,0.0,0.0
sales,low,282.6666666666667,5.0,69.0,76.0,3.0,1.0,0.0
sales,low,267.6666666666667,3.0,56.0,66.0,2.0,0.0,0.0
accounting,low,262.3333333333333,4.0,55.0,81.0,5.0,0.0,0.0
accounting,low,281.3333333333333,5.0,74.0,50.0,3.0,0.0,0.0
accounting,low,270.0,3.0,86.0,86.0,4.0,0.0,0.0
hr,low,259.0,3.0,82.0,74.0,3.0,0.0,0.0
hr,low,290.3333333333333,3.0,35.0,80.0,5.0,0.0,0.0
hr,low,278.0,4.0,93.0,99.0,4.0,0.0,0.0
hr,low,263.3333333333333,3.0,55.0,77.0,2.0,0.0,0.0
technical,low,285.3333333333333,4.0,99.0,68.0,3.0,0.0,0.0
technical,low,263.6666666666667,4.0,91.0,89.0,3.0,1.0,0.0
technical,low,268.6666666666667,6.0,24.0,65.0,3.0,0.0,0.0
technical,low,285.6666666666667,3.0,77.0,67.0,2.0,0.0,0.0
technical,low,276.0,3.0,64.0,66.0,3.0,0.0,0.0
technical,low,274.3333333333333,5.0,58.0,76.0,2.0,1.0,0.0
technical,low,273.6666666666667,4.0,65.0,99.0,4.0,0.0,0.0
technical,low,284.6666666666667,3.0,44.0,68.0,3.0,0.0,0.0
technical,medium,263.6666666666667,2.0,59.0,75.0,3.0,0.0,0.0
technical,medium,271.0,3.0,99.0,56.0,3.0,1.0,0.0
technical,medium,278.0,4.0,75.0,79.0,3.0,0.0,0.0
support,medium,276.6666666666667,4.0,77.0,49.0,2.0,0.0,0.0
support,medium,287.0,4.0,85.0,64.0,3.0,0.0,0.0
support,medium,268.6666666666667,5.0,77.0,93.0,4.0,0.0,0.0
support,medium,273.0,3.0,54.0,95.0,3.0,0.0,0.0
support,medium,278.3333333333333,4.0,69.0,82.0,2.0,0.0,0.0
support,medium,277.3333333333333,5.0,66.0,65.0,3.0,0.0,0.0
support,medium,282.0,4.0,51.0,65.0,3.0,0.0,0.0
support,medium,280.3333333333333,4.0,74.0,59.0,3.0,0.0,0.0
support,medium,301.6666666666667,3.0,55.0,72.0,3.0,0.0,0.0
support,high,268.0,3.0,65.0,84.0,3.0,0.0,0.0
support,low,266.0,6.0,20.0,77.0,4.0,0.0,0.0
technical,medium,283.3333333333333,5.0,92.0,94.0,3.0,0.0,0.0
technical,medium,255.66666666666663,3.0,57.0,60.0,3.0,0.0,0.0
technical,medium,290.3333333333333,2.0,75.0,78.0,6.0,0.0,0.0
management,medium,269.6666666666667,3.0,68.0,84.0,2.0,0.0,0.0
IT,low,282.3333333333333,3.0,97.0,70.0,3.0,0.0,0.0
IT,low,284.0,4.0,79.0,48.0,5.0,1.0,0.0
IT,low,272.0,4.0,66.0,75.0,3.0,1.0,0.0
IT,low,281.0,3.0,96.0,69.0,2.0,1.0,0.0
IT,low,289.0,4.0,73.0,69.0,3.0,0.0,0.0
product_mng,low,269.0,5.0,29.0,58.0,2.0,0.0,0.0
product_mng,low,285.0,3.0,58.0,56.0,2.0,0.0,0.0
product_mng,low,256.0,4.0,72.0,58.0,3.0,0.0,0.0
product_mng,low,290.6666666666667,4.0,94.0,87.0,3.0,0.0,0.0
IT,low,283.6666666666667,5.0,48.0,56.0,2.0,0.0,0.0
RandD,low,282.6666666666667,3.0,60.0,99.0,2.0,0.0,0.0
RandD,low,274.6666666666667,5.0,97.0,58.0,2.0,1.0,0.0
RandD,low,272.0,4.0,74.0,41.0,4.0,0.0,0.0
RandD,low,282.6666666666667,3.0,97.0,61.0,2.0,0.0,0.0
RandD,low,278.0,5.0,88.0,67.0,3.0,1.0,0.0
marketing,low,270.3333333333333,3.0,50.0,70.0,3.0,0.0,0.0
sales,low,280.6666666666667,4.0,93.0,98.0,3.0,0.0,0.0
accounting,low,281.3333333333333,5.0,30.0,70.0,4.0,1.0,0.0
support,low,269.0,3.0,69.0,53.0,3.0,0.0,0.0
technical,low,265.0,2.0,69.0,90.0,2.0,0.0,0.0
management,low,272.3333333333333,4.0,53.0,67.0,2.0,0.0,0.0
marketing,medium,281.6666666666667,3.0,32.0,80.0,3.0,0.0,0.0
marketing,medium,280.6666666666667,3.0,73.0,75.0,4.0,0.0,0.0
